source,target,n,perplexity
en,es,1,48.89592324982559
en,fr,1,50.27374850600316
en,in,1,50.544302336823584
en,it,1,48.9670250039387
en,nl,1,47.16536911271593
en,pt,1,54.55720780120233
en,tl,1,55.50044790872008
en,es,2,30.487237583812124
en,fr,2,31.978103761470095
en,in,2,32.55421105914044
en,it,2,30.493898793125872
en,nl,2,29.985373418414632
en,pt,2,34.975420259206345
en,tl,2,32.39897900531802
en,es,3,61.31477297417667
en,fr,3,61.66730413168145
en,in,3,82.64167506602821
en,it,3,64.30030026046649
en,nl,3,64.9094324264672
en,pt,3,72.81099730126736
en,tl,3,75.35500762666531
en,es,4,263.2234280747487
en,fr,4,228.06562008040785
en,in,4,365.9717715156659
en,it,4,271.1060687888921
en,nl,4,246.59983299207803
en,pt,4,299.77584603949913
en,tl,4,288.5466726025147
es,en,1,49.65451709773248
es,fr,1,48.03575136080314
es,in,1,53.08200591173414
es,it,1,48.276972735984195
es,nl,1,49.20126349058425
es,pt,1,49.833194287159486
es,tl,1,58.49797365487734
es,en,2,34.76022061687988
es,fr,2,31.2958655066672
es,in,2,37.47021438259248
es,it,2,27.003458757736365
es,nl,2,35.96748613413053
es,pt,2,28.045084557411524
es,tl,2,37.6980909103882
es,en,3,75.82000930292703
es,fr,3,63.51426541468305
es,in,3,95.9490522772764
es,it,3,52.33811870952771
es,nl,3,88.19092354443882
es,pt,3,50.82740493080393
es,tl,3,94.37687002314564
es,en,4,281.4597498926235
es,fr,4,222.23419836731424
es,in,4,386.13127180879906
es,it,4,190.46171822106325
es,nl,4,319.6578362072944
es,pt,4,160.5307101366031
es,tl,4,350.00639870553965
fr,en,1,49.235088306104416
fr,es,1,47.71727787478516
fr,in,1,54.18294889717864
fr,it,1,48.12813603141029
fr,nl,1,48.62136817573658
fr,pt,1,51.902451072831965
fr,tl,1,61.02065761082664
fr,en,2,30.78431915559606
fr,es,2,27.736734016718238
fr,in,2,35.95339708115024
fr,it,2,28.728530816319914
fr,nl,2,32.178309689640926
fr,pt,2,31.466379087138225
fr,tl,2,38.33239230531545
fr,en,3,62.066532910977706
fr,es,3,51.93964686199837
fr,in,3,91.30855358988596
fr,it,3,58.07346033542548
fr,nl,3,73.9674878384794
fr,pt,3,64.57952890586023
fr,tl,3,94.65296975978337
